camera_type	scientificName	cameraheight	major_axis_mod	minor_axis	profile	profile_se	contact_species	sum_effortday_all	species_traprate	effort_cameraheight	effort_cameraheight_cameratype	contact_species_cameraheight	contact_species_camereaheight_cameratype	hmean_speed	hmean_speed_se	groupsize_speed	activity_level	al_se	groupsize_al	profile_km	profile_se_km	hspeed_kmd	hspeed_se_kmd	group_size	group_size_se
Browning	Rhinoceros unicornis	4.5	1.479880442	0.544533922	2.133980236	0.536475135	232	32144	0.007217521	320	271	2	2	0.235005299	0.031100322	228	0.32306239	0.008749996	2966	0.00213398	5.36E-04	20.30445779	2.68706785	1.15	0.02
Browning	Panthera tigris	4.5	1.18930856	0.437615659	1.714977027	0.523754972	436	32144	0.013563962	320	271	4	4	0.391365283	0.08185127	188	0.6335	0.02745258	2926	0.001714977	5.24E-04	33.81396049	7.071949768	1.03	0.01
Browning	Panthera tigris	7.5	1.932560381	0.711101149	2.786742457	0.527235399	436	32144	0.013563962	5595	3904	67	44	0.391365283	0.08185127	188	0.6335	0.02745258	2926	0.002786742	5.27E-04	33.81396049	7.071949768	1.03	0.01
Browning	Axis porcinus	7.5	1.858087881	0.683698393	2.679353482	0.490104775	246	32144	0.007653061	5595	3904	85	78	0.092323681	0.010836314	193	0.5685436	0.01427842	2643	0.002679353	4.90E-04	7.976766064	0.936257514	1.11	0.03
Browning	Sus scrofa	8.1	2.094748741	0.770779662	3.020617265	0.534015124	630	32144	0.019599303	1780	1125	50	49	0.173376753	0.022623663	171	0.48009288	0.01292758	5447	0.003020617	5.34E-04	14.97975146	1.954684445	1.67	0.07
Browning	Rhinoceros unicornis	7.35	2.347054809	0.863617711	3.38444136	0.501891866	232	32144	0.007217521	2187	1738	101	101	0.235005299	0.031100322	228	0.32306239	0.008749996	2966	0.003384441	5.02E-04	20.30445779	2.68706785	1.15	0.02
Browning	Panthera tigris	7.35	1.886214789	0.694047916	2.719912343	0.536946405	436	32144	0.013563962	2187	1738	31	17	0.391365283	0.08185127	188	0.6335	0.02745258	2926	0.002719912	5.37E-04	33.81396049	7.071949768	1.03	0.01
Browning	Hystrix indica	7.35	1.79455541	0.660321109	2.587739975	0.531559178	117	32144	0.003639871	2187	1738	20	20	0.307255555	0.064327724	104	0.24988632	0.01686318	624	0.00258774	5.32E-04	26.54687991	5.55791535	1.25	0.04
Browning	Elephas maximus	7.35	2.754196614	1.013428815	3.971537817	0.514248666	233	32144	0.007248631	2187	1738	43	41	0.309954549	0.039236546	135	0.330787652	0.004914778	6492	0.003971538	5.14E-04	26.78007308	3.390037568	1.49	0.11
Browning	Axis porcinus	7.35	1.813528247	0.667302317	2.615098711	0.490507583	246	32144	0.007653061	2187	1738	50	44	0.092323681	0.010836314	193	0.5685436	0.01427842	2643	0.002615099	4.91E-04	7.976766064	0.936257514	1.11	0.03
