scientificName,cameraheight,cameratype,contact_species,sum_effortday_all,species_traprate,effort_cameraheight,effort_cameraheight_cameratype,contact_species_cameraheight,contact_species_camereaheight_cameratype
Semnopithecus schistaceus,7.1,Browning,1144,32144,0.03558984569437531,4077,1829,194,127
Rusa unicolor,7.1,Browning,587,32144,0.018261572921851668,4077,1829,55,33
Macaca mulatta,7.1,Browning,1927,32144,0.05994897959183673,4077,1829,414,261
Macaca mulatta,8.4,Browning,1927,32144,0.05994897959183673,581,581,95,95
Rhinoceros unicornis,8.4,Browning,232,32144,0.007217521154803385,581,581,36,36
Axis axis,8.4,Browning,23308,32144,0.7251119960179193,581,581,537,537
Canis aureus,8.4,Browning,91,32144,0.0028310104529616726,581,581,2,2
Semnopithecus schistaceus,8.4,Browning,1144,32144,0.03558984569437531,581,581,30,30
Panthera tigris,8.4,Browning,436,32144,0.013563962170233947,581,581,24,24
Elephas maximus,8.4,Browning,233,32144,0.0072486311597809855,581,581,5,5
Muntiacus muntjak,8.4,Browning,709,32144,0.022056993529118964,581,581,4,4
Axis axis,7.5,Hiperfire1,23308,32144,0.7251119960179193,5595,585,2339,119
Axis axis,7.1,Browning,23308,32144,0.7251119960179193,4077,1829,3209,1499
Muntiacus muntjak,7.3,Hiperfire2,709,32144,0.022056993529118964,1294,339,129,43
Macaca mulatta,7.3,Hiperfire2,1927,32144,0.05994897959183673,1294,339,55,2
Rusa unicolor,7.3,Hiperfire2,587,32144,0.018261572921851668,1294,339,31,20
Axis axis,7.3,Hiperfire2,23308,32144,0.7251119960179193,1294,339,566,5
Axis axis,6.5,Hiperfire1,23308,32144,0.7251119960179193,555,416,222,155
Sus scrofa,6.5,Hiperfire1,630,32144,0.0195993031358885,555,416,7,4
Rhinoceros unicornis,7.1,Browning,232,32144,0.007217521154803385,4077,1829,46,34
Panthera tigris,7.1,Browning,436,32144,0.013563962170233947,4077,1829,58,38
Muntiacus muntjak,7.08,Browning,709,32144,0.022056993529118964,608,281,44,35
Axis axis,7.08,Browning,23308,32144,0.7251119960179193,608,281,961,537
Sus scrofa,7.08,Browning,630,32144,0.0195993031358885,608,281,49,42
Muntiacus muntjak,8.1,Browning,709,32144,0.022056993529118964,1780,1125,44,37
Axis axis,8.1,Browning,23308,32144,0.7251119960179193,1780,1125,525,384
Axis axis,7.08,Hiperfire2,23308,32144,0.7251119960179193,608,327,961,424
Muntiacus muntjak,7.08,Hiperfire2,709,32144,0.022056993529118964,608,327,44,9
Semnopithecus schistaceus,7.08,Hiperfire2,1144,32144,0.03558984569437531,608,327,27,4
Sus scrofa,7.08,Hiperfire2,630,32144,0.0195993031358885,608,327,49,7
Muntiacus muntjak,7.25,Browning,709,32144,0.022056993529118964,1516,951,43,6
Axis axis,7.25,Browning,23308,32144,0.7251119960179193,1516,951,1564,1196
Sus scrofa,7.25,Browning,630,32144,0.0195993031358885,1516,951,17,12
Axis axis,7.1,Hiperfire2,23308,32144,0.7251119960179193,4077,1377,3209,1544
Hystrix indica,7.1,Hiperfire2,117,32144,0.003639870582379293,4077,1377,13,10
Rusa unicolor,7.1,Hiperfire2,587,32144,0.018261572921851668,4077,1377,55,20
Macaca mulatta,7.1,Hiperfire2,1927,32144,0.05994897959183673,4077,1377,414,149
Axis axis,7.8,Browning,23308,32144,0.7251119960179193,1731,1279,884,676
Elephas maximus,7.8,Browning,233,32144,0.0072486311597809855,1731,1279,14,6
Sus scrofa,7.8,Browning,630,32144,0.0195993031358885,1731,1279,30,29
Axis axis,7.55,Browning,23308,32144,0.7251119960179193,494,211,263,182
Hystrix indica,7.55,Browning,117,32144,0.003639870582379293,494,211,9,6
Macaca mulatta,7.55,Browning,1927,32144,0.05994897959183673,494,211,33,31
Semnopithecus schistaceus,7.55,Browning,1144,32144,0.03558984569437531,494,211,53,37
Panthera tigris,7.45,Hiperfire1,436,32144,0.013563962170233947,541,350,2,2
Rusa unicolor,7.45,Hiperfire1,587,32144,0.018261572921851668,541,350,46,12
Semnopithecus schistaceus,7.45,Hiperfire1,1144,32144,0.03558984569437531,541,350,45,14
Axis axis,7.45,Hiperfire1,23308,32144,0.7251119960179193,541,350,439,82
Axis axis,7.5,Browning,23308,32144,0.7251119960179193,5595,3904,2339,1873
Macaca mulatta,7.5,Browning,1927,32144,0.05994897959183673,5595,3904,314,213
Muntiacus muntjak,7.5,Hiperfire2,709,32144,0.022056993529118964,5595,1106,99,20
Axis axis,7.5,Hiperfire2,23308,32144,0.7251119960179193,5595,1106,2339,347
Axis axis,7.15,Browning,23308,32144,0.7251119960179193,843,843,527,527
Rusa unicolor,7.15,Browning,587,32144,0.018261572921851668,843,843,31,31
Semnopithecus schistaceus,7.15,Browning,1144,32144,0.03558984569437531,843,843,13,13
Sus scrofa,7.15,Browning,630,32144,0.0195993031358885,843,843,15,15
Muntiacus muntjak,7.15,Browning,709,32144,0.022056993529118964,843,843,17,17
Axis porcinus,7.55,Browning,246,32144,0.007653061224489796,494,211,7,4
Rusa unicolor,7.55,Browning,587,32144,0.018261572921851668,494,211,33,7
Sus scrofa,7.55,Browning,630,32144,0.0195993031358885,494,211,2,1
Axis axis,4.5,Browning,23308,32144,0.7251119960179193,320,271,58,57
