,model,scientificName,height,x_meters,y_meters
1,Browning,Rhinoceros unicornis,4.5,-1.600099035,-0.825896345
2,Browning,Rhinoceros unicornis,4.5,-0.573878134,-0.573296441
3,Browning,Panthera tigris,4.5,-0.061389851,-0.327098711
4,Browning,Panthera tigris,7.5,2.022584135,0.186483637
5,Browning,Axis porcinus,7.5,1.769646785,1.090464105
6,Browning,Panthera tigris,7.5,-2.108923744,-1.363156565
7,Browning,Panthera tigris,7.5,-0.31805424,0.273108192
8,Browning,Panthera tigris,7.5,-0.212419702,-0.0864262
9,Browning,Panthera tigris,7.5,-0.95351724,0.240280728
10,Browning,Sus scrofa,8.1,-1.270672959,-2.034008856
11,Browning,Sus scrofa,8.1,-1.802276397,-1.042682569
12,Browning,Rhinoceros unicornis,7.35,-2.527729344,-0.951740038
13,Browning,Rhinoceros unicornis,7.35,-0.491716347,0.49267673
14,Browning,Rhinoceros unicornis,7.35,-1.982231522,1.068906824
15,Browning,Rhinoceros unicornis,7.35,-2.320955663,-0.905092376
16,Browning,Panthera tigris,7.35,-0.577358397,-0.485715588
17,Browning,Hystrix indica,7.35,-1.460497693,0.793932792
18,Browning,Hystrix indica,7.35,-1.050829343,0.111986212
19,Browning,Elephas maximus,7.35,-1.200324635,0.020617624
20,Browning,Elephas maximus,7.35,-1.459782904,-1.136133668
21,Browning,Panthera tigris,7.35,-1.490515175,0.999759212
22,Browning,Rhinoceros unicornis,7.35,-2.712122974,-1.420407181
23,Browning,Hystrix indica,7.35,-1.057068977,-0.032476878
24,Browning,Hystrix indica,7.35,0.050077008,-0.406718213
25,Browning,Rhinoceros unicornis,7.35,-2.522822064,-1.13782933
26,Browning,Rhinoceros unicornis,7.35,0.176710562,-1.036253785
27,Browning,Elephas maximus,7.35,-2.70946061,0.845160103
28,Browning,Hystrix indica,7.35,-0.339429599,-0.738862834
29,Browning,Rhinoceros unicornis,7.35,0.176710562,0.193037081
30,Browning,Elephas maximus,7.35,-2.502313755,-1.811785693
31,Browning,Hystrix indica,7.35,-0.705190471,-0.75896288
32,Browning,Hystrix indica,7.35,-1.568201223,0.87292627
33,Browning,Rhinoceros unicornis,7.35,-1.820887096,-0.252580858
34,Browning,Rhinoceros unicornis,7.35,-1.344536885,1.176469774
35,Browning,Rhinoceros unicornis,7.35,-1.744610185,0.233245215
36,Browning,Hystrix indica,7.35,-0.779373074,-0.474045508
37,Browning,Rhinoceros unicornis,7.35,-0.518675128,-1.811657153
38,Browning,Elephas maximus,7.35,-0.535663495,0.476357894
39,Browning,Hystrix indica,7.35,-1.581818047,0.879692204
40,Browning,Panthera tigris,7.35,-0.505243934,0.196337846
41,Browning,Rhinoceros unicornis,7.35,-2.059062201,1.41464488
42,Browning,Rhinoceros unicornis,7.35,-1.313804613,-1.581707038
43,Browning,Hystrix indica,7.35,-0.937847181,-0.365978118
44,Browning,Axis porcinus,7.35,-1.39153977,0.297200859
45,Browning,Rhinoceros unicornis,7.35,-3.495795901,-0.398949987
46,Browning,Rhinoceros unicornis,7.35,-1.544296651,-0.698198797
47,Browning,Axis porcinus,7.35,-0.40070892,-0.289242246
48,Browning,Axis porcinus,7.35,0.136848502,0.50448469
49,Browning,Rhinoceros unicornis,7.35,1.575028923,0.423529119
50,Browning,Elephas maximus,7.35,-1.618331204,1.274199432
51,Browning,Rhinoceros unicornis,7.35,0.445617939,1.383912608
52,Browning,Rhinoceros unicornis,7.1,0.764439125,-0.295941846
53,Browning,Rhinoceros unicornis,7.1,1.135526078,-0.630274466
54,Browning,Hystrix indica,7.1,-0.363012347,0.029607284
55,Browning,Panthera tigris,7.1,-0.655345404,0.042053831
56,Browning,Rhinoceros unicornis,7.1,1.706999987,-0.273676628
57,Browning,Rhinoceros unicornis,7.1,2.501126068,-0.637341843
58,Browning,Sus scrofa,7.1,-0.437882605,-0.006494022
59,Browning,Rhinoceros unicornis,7.1,2.256208679,-0.533437496
60,Browning,Rhinoceros unicornis,7.1,-0.067393426,0.106986523
61,Browning,Elephas maximus,7.15,-0.848628406,0.887716594
62,Browning,Axis porcinus,7.15,3.303744821,0.469056691
63,Browning,Macaca mulatta,7.15,3.320070035,0.366663383
64,Browning,Rusa unicolor,7.15,-1.245449958,-1.021452537
65,Browning,Muntiacus muntjak,7.15,3.055031276,0.291976787
66,Browning,Axis axis,7.15,-2.101437351,0.418542333
67,Browning,Semnopithecus schistaceus,7.15,3.119384557,0.512176618
68,Browning,Panthera tigris,7.15,0.127058082,-0.275623939
69,Browning,Hystrix indica,7.15,2.165640871,-0.258280698
70,Browning,Axis axis,7.15,0.83280946,0.432022983
71,Browning,Rusa unicolor,7.15,-2.324415506,0.150414347
72,Browning,Sus scrofa,7.15,1.659229075,0.172836362
73,Browning,Sus scrofa,7.15,2.952231913,0.135466338
74,Browning,Axis axis,7.6,-1.770407975,1.185123727
75,Browning,Elephas maximus,7.6,3.819475447,-0.441170719
76,Browning,Rhinoceros unicornis,7.6,0.27010949,0.851093133
77,Browning,Elephas maximus,7.6,3.23626124,-0.591468283
78,Browning,Hystrix indica,7.6,0.388363314,-0.531981866
79,Browning,Elephas maximus,7.6,3.865742334,1.66362818
80,Browning,Elephas maximus,7.6,3.149222429,-0.987099241
81,Browning,Elephas maximus,7.6,3.409634889,0.941414988
82,Browning,Elephas maximus,7.6,3.686230787,0.271094691
83,Browning,Semnopithecus schistaceus,7.6,-3.439414718,-1.659125884
84,Browning,Axis axis,7.6,2.612529664,0.280606447
85,Browning,Axis axis,7.6,0.203850545,0.127680086
86,Browning,Axis axis,7.6,-3.281239382,-0.533484492
87,Browning,Semnopithecus schistaceus,7.6,-1.417332603,-2.087098917
88,Browning,Elephas maximus,7.6,3.582922937,0.596822806
89,Browning,Semnopithecus schistaceus,7.6,0.252226745,1.819383656
90,Browning,Semnopithecus schistaceus,7.6,-1.441394836,-2.015111094
91,Browning,Macaca mulatta,7.6,-2.576360124,0.38960026
92,Browning,Elephas maximus,7.6,0.506407627,-0.678507094
93,Browning,Sus scrofa,7.6,-3.749755269,-0.706001541
94,Browning,Sus scrofa,7.6,2.557778475,-0.425728363
95,Browning,Elephas maximus,7.6,-3.20337852,-0.859576796
96,Browning,Semnopithecus schistaceus,7.6,2.875463279,1.286026961
97,Browning,Sus scrofa,7.6,-2.003763971,-0.2431452
98,Browning,Sus scrofa,7.6,-0.270277239,0.292818804
99,Browning,Sus scrofa,7.6,-0.500496996,0.517378839
100,Browning,Axis axis,7.6,-2.137217929,-1.111365645
101,Browning,Rhinoceros unicornis,7.6,-2.589873342,-1.023834132
102,Browning,Semnopithecus schistaceus,7.6,-3.055179885,-0.52660511
103,Browning,Semnopithecus schistaceus,7.6,-0.729010873,-1.153778917
104,Browning,Axis axis,7.6,-0.729010873,-1.153778917
105,Browning,Rhinoceros unicornis,7.6,0.738828898,-0.658391881
106,Browning,Panthera tigris,7.6,-0.31777587,0.167825381
107,Browning,Rhinoceros unicornis,7.5,-0.047039191,-0.430212604
108,Browning,Axis porcinus,7.5,0.068905535,-1.67937998
109,Browning,Panthera tigris,7.5,0.736947331,0.05585904
110,Browning,Panthera tigris,7.5,1.356915901,0.157252822
111,Browning,Panthera tigris,7.5,-0.203836496,-1.292597778
112,Browning,Axis porcinus,7.5,0.533377982,0.129058125
113,Browning,Sus scrofa,7.5,-0.5409507,0.269463835
114,Browning,Axis porcinus,7.5,-2.240210524,-0.214012657
115,Browning,Muntiacus muntjak,7.5,-0.472148239,-0.154853763
116,Browning,Rhinoceros unicornis,7.5,-0.266555417,1.004482731
117,Browning,Sus scrofa,7.5,-1.332777087,0.228336075
118,Browning,Muntiacus muntjak,7.3,1.853775724,0.050061048
119,Browning,Axis porcinus,7.3,-3.59066199,-0.686064884
120,Browning,Muntiacus muntjak,7.3,-3.02179765,0.901388504
121,Browning,Rusa unicolor,7.3,-0.915696258,1.275297809
122,Browning,Sus scrofa,7.3,2.083208986,-0.647664332
123,Browning,Muntiacus muntjak,7.3,1.846654119,-0.479786685
124,Browning,Muntiacus muntjak,7.3,1.837152166,-0.348191897
125,Browning,Muntiacus muntjak,7.3,-3.02890119,1.104264173
126,Browning,Muntiacus muntjak,7.3,-0.524871978,0.218208752
127,Browning,Rusa unicolor,7.3,-2.533426313,0.832711284
128,Browning,Muntiacus muntjak,7.3,-2.445090803,0.524438335
129,Browning,Muntiacus muntjak,7.3,-0.065873825,0.447801674
130,Browning,Rusa unicolor,7.3,3.298446086,0.524154937
131,Browning,Muntiacus muntjak,7.3,1.741740369,0.139788145
132,Browning,Muntiacus muntjak,7.3,-0.656248985,0.878496097
133,Browning,Axis porcinus,7.5,-1.376212794,0.205173181
134,Browning,Axis axis,8.4,-2.495568338,-0.082136795
135,Browning,Axis axis,8.4,-3.728422216,-2.359091627
136,Browning,Axis axis,8.4,-2.711719381,-0.578428776
137,Browning,Macaca mulatta,8.4,2.770297552,0.066736162
138,Browning,Hystrix indica,8.4,1.342972279,-1.195566247
139,Browning,Macaca mulatta,8.4,-4.289876123,0.49963783
140,Browning,Axis axis,8.4,2.464523666,-0.196762749
141,Browning,Axis axis,8.4,3.335448835,-0.14782731
142,Browning,Axis axis,8.4,2.576598152,0.988671183
143,Browning,Axis axis,8.4,3.042947942,0.24491395
144,Browning,Axis axis,8.4,-1.406568405,0.200378983
145,Browning,Axis axis,8.4,0.325142134,-0.380884663
146,Browning,Axis axis,8.4,1.404388961,-1.144951898
147,Browning,Panthera tigris,8.4,3.248840147,0.290859
148,Browning,Axis axis,8.4,0.37757003,-0.119423445
149,Browning,Axis axis,8.4,0.69154527,-0.140811042
150,Browning,Axis axis,8.4,-0.566530902,0.709699493
151,Browning,Rhinoceros unicornis,8.4,-3.633464003,-1.428486962
152,Browning,Axis axis,8.4,1.46429027,1.142492145
153,Browning,Axis axis,8.4,1.279282418,-0.962064887
154,Browning,Axis axis,7.5,-2.841191428,-0.191713752
155,Browning,Sus scrofa,7.5,-2.790992018,-0.66540856
156,Browning,Sus scrofa,7.5,-3.483459193,0.504681361
157,Browning,Canis aureus,7.16,2.697075411,0.684643883
158,Browning,Canis aureus,7.16,1.090336561,-0.821130492
159,Browning,Canis aureus,7.16,-2.675337483,0.805225935
160,Browning,Axis porcinus,7.16,2.542040652,0.492045296
161,Browning,Muntiacus muntjak,7.16,2.597106925,-0.178691435
162,Browning,Sus scrofa,7.16,2.447018305,-0.43945796
163,Browning,Axis axis,7.16,2.609898768,-0.516562167
164,Browning,Sus scrofa,7.16,-0.987948455,-0.807385906
165,Browning,Sus scrofa,7.16,-2.086298044,-0.273490399
166,Browning,Sus scrofa,7.16,2.118101613,-0.410709633
167,Browning,Sus scrofa,7.16,3.390459472,1.243355585
168,Browning,Sus scrofa,7.16,-2.110617155,-0.253536015
169,Browning,Sus scrofa,7.16,2.75591554,-0.312473171
170,Browning,Sus scrofa,7.16,2.402511017,-0.49303867
171,Browning,Macaca mulatta,7.1,1.976993827,-1.184692352
172,Browning,Rhinoceros unicornis,7.1,1.499191293,-1.891615747
173,Browning,Rhinoceros unicornis,7.1,1.833169551,-1.104911405
174,Browning,Panthera tigris,7.1,1.810904334,-0.214302716
175,Browning,Axis porcinus,7.1,1.886948468,-0.145993029
176,Browning,Panthera tigris,7.1,2.154472296,0.144123916
177,Browning,Rhinoceros unicornis,7.1,-1.083573905,-0.288520107
178,Browning,Panthera tigris,7.1,2.130039114,-0.206880977
179,Browning,Rhinoceros unicornis,7.1,0.512099996,0.646619017
180,Browning,Panthera tigris,7.1,1.078859016,0.019308078
181,Browning,Rhinoceros unicornis,7.1,1.744108682,-1.208815752
182,Browning,Axis axis,7.1,0.716216359,1.334654652
183,Browning,Macaca mulatta,7.1,0.716216359,1.334654652
184,Browning,Rhinoceros unicornis,7.1,1.180056513,-1.268189664
185,Browning,Rhinoceros unicornis,7.1,2.115195636,0.950910319
186,Browning,Axis axis,7.1,-1.058566614,0.05964519
187,Browning,Axis axis,7.1,0.333173482,-0.021549818
188,Browning,Macaca mulatta,7.1,0.297838114,-1.699144087
189,Browning,Panthera tigris,7.1,1.773795639,0.045458152
190,Browning,Panthera tigris,7.5,2.469557544,-0.179336917
191,Browning,Muntiacus muntjak,7.5,-2.557844777,0.562186815
192,Browning,Rusa unicolor,7.5,0.956463557,-0.163657186
