deploymentid,make,model
002777a1-b689-45fb-a8ff-24112b587ee1, Prometheus , BTC5HDPX 
002b22d1-3e99-4376-9270-b12c05c67ae1, Prometheus , BTC5HDPX 
0082b82a-27d6-43cb-8020-b90aa636a230, CUDDEBACK , C1 
00fa842a-7253-4b34-ab1b-3b7efda91d06, RECONYX , HC500 HYPERFIRE 
013f67eb-baa1-4138-89ac-0658be2a9d9f, Prometheus , BTC5HDPX 
0149bce1-d1e8-4ae8-8c0d-2d940225c384, RECONYX , HYPERFIRE 2 COVERT 
020e41f6-78db-4475-be02-e697b0995afc, Prometheus , BTC5HDPX 
020f23c6-3ba1-4ae2-a9cd-f2a884280b7e, CUDDEBACK , E2 
026c0255-3c50-44c9-8962-28873a17f751, RECONYX , HC500 HYPERFIRE 
0272beed-8a2d-4959-9ad5-d974d34b0e65, Prometheus , BTC5HDPX 
02996d9b-eaf9-4518-9b9f-64fbff8ce86a, Prometheus , BTC5HDPX 
033fc7b4-cf7b-4a91-b01e-d4f0bc3a4f4e, RECONYX , HC600 HYPERFIRE 
03624b68-b1b1-4815-b922-32790e43644a, RECONYX , HC500 HYPERFIRE 
03835b4f-ef0b-410c-99d9-c7a6d4ca398a, Prometheus , BTC5HDPX 
039bd1b2-a620-4fcd-8839-1cb3d70c14a5, Prometheus , BTC5HDPX 
03ad2720-bc9b-4de3-a06f-94be221092b0, Prometheus , BTC5HDPX 
03b8e49c-7afe-4fca-bba1-8fc0077132cc, RECONYX , HYPERFIRE 2 COVERT 
03bd15e5-edc7-42d3-9c2b-ecdb05e4ab3b, Prometheus , BTC5HDPX 
04312d87-74e6-45a8-9db0-1f16a304adf4, RECONYX , HYPERFIRE 2 COVERT 
0443069b-baff-4c9b-aeb1-6b6acff4a030, RECONYX , HYPERFIRE 2 COVERT 
049ffeb3-a744-444a-ae3a-782046c62f8e, Prometheus , BTC5HDPX 
04a2812d-f9e0-49d9-9d43-04729887cb26, Prometheus , BTC5HDPX 
04a7542a-41df-44c2-87f1-b91d0f060035, Prometheus , BTC5HDPX 
04b67cdb-8e8a-492f-b262-0b2126ee103e, RECONYX , HYPERFIRE 2 COVERT 
