"","model","scientificName","height","major_axis_mod","minor_axis","profile","profile_se"
"1","Browning","Rhinoceros unicornis",4.5,1.47988044198633,0.544533921666428,2.57756442273256,0.637823754511595
"3","Browning","Panthera tigris",4.5,1.18930855985483,0.437615658532491,2.07146425113808,0.624380957468394
"4","Browning","Panthera tigris",7.5,1.93256038120003,0.711101149373621,3.36601440362147,0.627529641490301
"5","Browning","Axis porcinus",7.5,1.85808788093813,0.683698393398625,3.23630279875061,0.583916619500352
"10","Browning","Sus scrofa",8.1,2.09474874123221,0.77077966206376,3.64850407963824,0.636788846245801
"12","Browning","Rhinoceros unicornis",7.35,2.34705480943248,0.863617710921898,4.08795521810971,0.596810469240774
"16","Browning","Panthera tigris",7.35,1.88621478878378,0.694047915562042,3.2852925109784,0.638758978952394
"17","Browning","Hystrix indica",7.35,1.79455540999065,0.660321109277109,3.12564586177352,0.63192568498632
"19","Browning","Elephas maximus",7.35,2.75419661390224,1.01342881536807,4.79708968629675,0.611099704977232
"44","Browning","Axis porcinus",7.35,1.81352824676511,0.667302317299609,3.15869157795484,0.581550842053343
"52","Browning","Rhinoceros unicornis",7.1,2.25399710688848,0.829376380156326,3.9258730548934,0.594214507625995
"54","Browning","Hystrix indica",7.1,1.72340359757003,0.634140227124854,3.00171802604771,0.628961138650706
"55","Browning","Panthera tigris",7.1,1.81142879995927,0.666529808946852,3.1550348910762,0.63438795597486
"58","Browning","Sus scrofa",7.1,1.78177322739311,0.655617802293776,3.1033826449801,0.623688715895954
"61","Browning","Elephas maximus",7.15,2.66648434454719,0.98115437977511,4.64431786871447,0.618119867543321
"62","Browning","Axis porcinus",7.15,1.75577322765706,0.646050893090897,3.05809745003506,0.616620370395297
"63","Browning","Macaca mulatta",7.15,1.72690560211126,0.635428817886937,3.00781760143071,0.632314254441971
"64","Browning","Rusa unicolor",7.15,1.83411312772723,0.674876689957912,3.19454505321458,0.594250506009547
"65","Browning","Muntiacus muntjak",7.15,1.74081467905928,0.640546774718029,3.03204357325729,0.611747838238115
"66","Browning","Axis axis",7.15,1.77680362372222,0.653789196617761,3.09472689600623,0.614874028521148
"67","Browning","Semnopithecus schistaceus",7.15,1.74213622124652,0.641033046804238,3.03434535387978,0.640742009939233
"68","Browning","Panthera tigris",7.15,1.826144938004,0.671944730405323,3.1806665521131,0.612481362849115
"69","Browning","Hystrix indica",7.15,1.73740461447404,0.639292014002868,3.02610413321553,0.600696474680228
"72","Browning","Sus scrofa",7.15,1.79624844208514,0.660944074065185,3.12859468058989,0.64998516018518
"74","Browning","Axis axis",7.6,1.91101990374829,0.70317515729441,3.32849652937092,0.634795973296972
"75","Browning","Elephas maximus",7.6,2.86790537087488,1.05526886785165,4.99514058163288,0.614294169278438
"76","Browning","Rhinoceros unicornis",7.6,2.44395445834647,0.899272716781974,4.25672904640676,0.596013300537608
"78","Browning","Hystrix indica",7.6,1.86864477019048,0.687582885781986,3.25469013692981,0.58636834948651
"83","Browning","Semnopithecus schistaceus",7.6,1.87373379330941,0.689455432805234,3.26355388332829,0.664988460507632
"91","Browning","Macaca mulatta",7.6,1.85735268291247,0.68342787136674,3.23502227620241,0.64043807146041
"93","Browning","Sus scrofa",7.6,1.93193354576263,0.710870500228404,3.36492262034188,0.650915182369474
"106","Browning","Panthera tigris",7.6,1.96408836466918,0.722702124691359,3.42092789947217,0.603311106786565
"107","Browning","Rhinoceros unicornis",7.5,2.40472355756413,0.884837391030361,4.18839908456702,0.613711237079654
"113","Browning","Sus scrofa",7.5,1.90092171860152,0.699459448779263,3.31090813369379,0.619905845851913
"115","Browning","Muntiacus muntjak",7.5,1.84225764874861,0.677873532031123,3.20873067728887,0.589049645802331
"118","Browning","Muntiacus muntjak",7.3,1.78358769094937,0.656285448765733,3.10654296562241,0.570035385341098
"119","Browning","Axis porcinus",7.3,1.79891378135658,0.661924807106094,3.13323700404094,0.630981403794386
"121","Browning","Rusa unicolor",7.3,1.87917854655885,0.69145887359363,3.27303721851412,0.625196921463441
"122","Browning","Sus scrofa",7.3,1.84038349959303,0.677183923762427,3.20546639995318,0.577572907214505
"134","Browning","Axis axis",8.4,2.17514802688226,0.800363226432944,3.7885385935254,0.614494543385427
"137","Browning","Macaca mulatta",8.4,2.11406328920876,0.777886605473841,3.68214496730258,0.640123801353677
"138","Browning","Hystrix indica",8.4,2.12691609169081,0.782615897612172,3.70453118545252,0.630170800812442
"147","Browning","Panthera tigris",8.4,2.23555124813355,0.822589077938288,3.89374519650395,0.619574712986712
"151","Browning","Rhinoceros unicornis",8.4,2.78174115687421,1.02356405168818,4.84506507132833,0.628787794610047
"154","Browning","Axis axis",7.5,1.88034378702239,0.691887633202375,3.27506676244046,0.601378492561513
"157","Browning","Canis aureus",7.16,1.73802019610268,0.639518522218561,3.02717631530556,0.636604346258737
"160","Browning","Axis porcinus",7.16,1.75861679996023,0.647097208410607,3.06305020878109,0.641508262687876
"161","Browning","Muntiacus muntjak",7.16,1.74363402516182,0.641584175812194,3.03695413630218,0.63499292192518
"162","Browning","Sus scrofa",7.16,1.79915756624712,0.662014509719035,3.13366161351804,0.636469866256573
"163","Browning","Axis axis",7.16,1.77968125592039,0.654848044550019,3.09973897817536,0.597493544707055
"171","Browning","Macaca mulatta",7.1,1.71298919235538,0.630308162890161,2.98357885777195,0.604371266933266
"175","Browning","Axis porcinus",7.1,1.74162418578435,0.640844639234048,3.03345352211214,0.600469268606368
"182","Browning","Axis axis",7.1,1.76248510668618,0.64852058301029,3.06978778670303,0.620588872493178
"192","Browning","Rusa unicolor",7.5,1.94099290342131,0.714203963806745,3.38070165041168,0.594456072416794
"194","Browning","Axis axis",7.08,1.75679006045494,0.646425044904381,3.05986850664836,0.623400436557987
"195","Browning","Semnopithecus schistaceus",7.08,1.72251314471818,0.633812577829868,3.00016709022482,0.646858201529957
"196","Browning","Axis porcinus",7.08,1.73599654659587,0.638773904092151,3.02365164748453,0.610302839634874
"198","Browning","Sus scrofa",7.08,1.77601585624421,0.6534993312327,3.09335481123027,0.640410411887329
"200","Browning","Elephas maximus",7.5,2.82186911570912,1.03832945717155,4.91495747352191,0.639840542847559
"207","Browning","Macaca mulatta",7.8,1.91844909217663,0.705908786981585,3.34143623128155,0.583680628082122
"208","Browning","Panthera tigris",7.8,2.02869577480878,0.746474941341877,3.53345709919401,0.596209771630962
"209","Browning","Sus scrofa",7.8,1.99548324403426,0.734254123282521,3.47560956280898,0.651869394944939
"211","Browning","Semnopithecus schistaceus",7.8,1.93536904855271,0.71213462113581,3.37090636707888,0.602087391338904
"215","Browning","Axis axis",7.35,1.83525042403952,0.675295167291254,3.19652592574286,0.603970002730688
"216","Browning","Semnopithecus schistaceus",7.35,1.79944265989247,0.662119412220845,3.1341581720349,0.624367242563219
"220","Browning","Muntiacus muntjak",7.35,1.79807764643395,0.661617144530427,3.13178067583494,0.632255737456561
"226","Browning","Sus scrofa",7.35,1.85533486706376,0.682685399781791,3.23150776908705,0.621246987675803
"229","Browning","Macaca mulatta",7.35,1.78371103944034,0.65633083583594,3.1067578064115,0.630215609128618
"255","Browning","Macaca mulatta",7,1.6854919086736,0.620190316006316,2.93568578605541,0.633631915783694
"256","Browning","Semnopithecus schistaceus",7,1.70035727553857,0.625660147410486,2.96157736464172,0.612505854408061
"257","Browning","Sus scrofa",7,1.75317180707541,0.645093679446445,3.05356645621314,0.623920244507509
"259","Browning","Rusa unicolor",7,1.79012844280361,0.658692171063553,3.11793524353831,0.624228581964448
